,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales
1618524,24/04/2020,Vente,"293000,00",49.0,RUE,1620,CHABAUD,51100.0,REIMS,51,454,IK,714,1,2.0,Appartement,96.0,4.0
1618529,29/04/2020,Vente,"124000,00",51.0,BD,4550,HENRY VASNIER,51100.0,REIMS,51,454,CI,77,1,2.0,Appartement,34.0,2.0
1618541,29/04/2020,Vente,"139000,00",2.0,AV,3913,DU GENERAL DE GAULLE,51100.0,REIMS,51,454,HX,547,1,2.0,Appartement,66.0,3.0
1618542,28/04/2020,Vente,"87500,00",50.0,RUE,8430,DE STRASBOURG,51100.0,REIMS,51,454,CV,598,2,2.0,Appartement,42.0,2.0
1618546,28/04/2020,Vente,"93000,00",172.0,AV,4900,JEAN JAURES,51100.0,REIMS,51,454,CV,1006,3,2.0,Appartement,63.0,3.0
1618547,30/04/2020,Vente,"85000,00",30.0,RUE,7010,PIERRE BROSSOLETTE,51100.0,REIMS,51,454,AV,416,1,2.0,Appartement,35.0,1.0
1618560,05/05/2020,Vente,"115000,00",51.0,RUE,5650,DE LOUVOIS,51100.0,REIMS,51,454,DV,726,1,2.0,Appartement,45.0,2.0
1618563,05/05/2020,Vente,"322500,00",24.0,RUE,0470,DES AUGUSTINS,51100.0,REIMS,51,454,CK,119,4,2.0,Appartement,150.0,8.0
1618567,30/04/2020,Vente,"80500,00",21.0,RUE,1590,DE CERNAY,51100.0,REIMS,51,454,CW,124,1,2.0,Appartement,35.0,1.0
1618570,05/05/2020,Vente,"875000,00",8.0,RUE,6910,DU PETIT ARSENAL,51100.0,REIMS,51,454,BE,78,0,1.0,Maison,204.0,8.0
1618581,17/04/2020,Vente,"145000,00",34.0,RUE,6080,MAUCROIX,51100.0,REIMS,51,454,AT,55,0,2.0,Appartement,55.0,3.0
1618582,17/04/2020,Vente,"145000,00",34.0,RUE,6080,MAUCROIX,51100.0,REIMS,51,454,AT,55,0,2.0,Appartement,24.0,1.0
1618583,17/04/2020,Vente,"145000,00",34.0,RUE,6080,MAUCROIX,51100.0,REIMS,51,454,AT,55,0,2.0,Appartement,20.0,1.0
1618584,17/04/2020,Vente,"145000,00",34.0,RUE,6080,MAUCROIX,51100.0,REIMS,51,454,AT,55,0,2.0,Appartement,20.0,1.0
1618585,17/04/2020,Vente,"145000,00",34.0,RUE,6080,MAUCROIX,51100.0,REIMS,51,454,AT,55,0,2.0,Appartement,24.0,1.0
1618587,13/05/2020,Vente,"62000,00",124.0,RUE,3280,EMILE ZOLA,51100.0,REIMS,51,454,AX,842,1,2.0,Appartement,26.0,1.0
1618590,28/04/2020,Vente,"68500,00",67.0,RUE,3500,FAVART D HERBIGNY,51100.0,REIMS,51,454,CV,1134,1,2.0,Appartement,22.0,1.0
1618595,30/04/2020,Vente,"114500,00",98.0,RUE,7160,PONSARDIN,51100.0,REIMS,51,454,CY,618,1,2.0,Appartement,36.0,1.0
1618598,07/05/2020,Vente,"115000,00",2.0,ALL,7615,RONSARD,51100.0,REIMS,51,454,DK,184,1,2.0,Appartement,90.0,5.0
1618608,30/04/2020,Vente,"360000,00",30.0,RUE,9040,DE VESLE,51100.0,REIMS,51,454,IL,148,2,2.0,Appartement,122.0,5.0
1618610,13/05/2020,Vente,"205000,00",24.0,RUE,1370,DU CANADA,51100.0,REIMS,51,454,CS,101,0,1.0,Maison,89.0,6.0
1618611,13/05/2020,Vente,"205000,00",24.0,RUE,1370,DU CANADA,51100.0,REIMS,51,454,CS,101,0,1.0,Maison,89.0,6.0
1618618,30/04/2020,Vente,"129400,00",23.0,BD,6750,PASTEUR,51100.0,REIMS,51,454,CK,310,2,2.0,Appartement,66.0,4.0
1618623,11/05/2020,Vente,"230000,00",6.0,RUE,7160,PONSARDIN,51100.0,REIMS,51,454,CX,69,1,2.0,Appartement,69.0,3.0
1618625,27/04/2020,Vente,"177800,00",12.0,RUE,6485,NEWTON,51100.0,REIMS,51,454,KS,1,1,1.0,Maison,90.0,5.0
1618626,30/04/2020,Vente,"163000,00",23.0,RUE,2170,DU COLONEL FABIEN,51100.0,REIMS,51,454,HZ,89,1,2.0,Appartement,66.0,2.0
1618628,29/04/2020,Vente,"155000,00",2.0,RUE,8950,DE VENISE,51100.0,REIMS,51,454,IK,173,2,2.0,Appartement,60.0,3.0
1618629,30/04/2020,Vente,"140880,00",21.0,RUE,6890,PERSEVAL,51100.0,REIMS,51,454,CW,148,2,2.0,Appartement,47.0,2.0
1618633,14/05/2020,Vente,"237000,00",107.0,RUE,6830,P VAILLANT COUTURIER,51100.0,REIMS,51,454,AN,200,1,2.0,Appartement,100.0,5.0
1618637,12/05/2020,Vente,"443000,00",5.0,RUE,4503,HENRI LELARGE,51100.0,REIMS,51,454,KD,92,0,2.0,Appartement,110.0,3.0
1618642,15/05/2020,Vente,"122800,00",3.0,BD,9070,VICTOR HUGO,51100.0,REIMS,51,454,CZ,607,2,2.0,Appartement,65.0,3.0
1618646,07/05/2020,Vente,"222500,00",2.0,AV,3913,DU GENERAL DE GAULLE,51100.0,REIMS,51,454,HX,547,1,2.0,Appartement,88.0,4.0
1618651,07/05/2020,Vente,"177670,00",474.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AE,312,1,2.0,Appartement,62.0,3.0
1618653,07/05/2020,Vente,"85000,00",6.0,RUE,0150,D ALGER,51100.0,REIMS,51,454,CS,25,1,2.0,Appartement,39.0,2.0
1618656,15/05/2020,Vente,"200000,00",30.0,RUE,1880,CHAVAILLIAUD,51100.0,REIMS,51,454,CV,585,1,2.0,Appartement,109.0,3.0
1618659,14/05/2020,Vente en l'état futur d'achèvement,"230000,00",7.0,RUE,5260,LAMOUCHE,51100.0,REIMS,51,454,AV,754,1,2.0,Appartement,64.0,3.0
1618661,30/04/2020,Vente,"187000,00",10.0,RUE,2760,DESBUREAUX,51100.0,REIMS,51,454,AY,5,0,1.0,Maison,65.0,4.0
1618662,13/05/2020,Vente,"45221,00",145.0,RUE,2560,CROIX ST MARC,51100.0,REIMS,51,454,CV,230,1,2.0,Appartement,19.0,1.0
1618664,07/05/2020,Vente,"230000,00",16.0,RUE,9110,DU VIEUX COLOMBIER,51100.0,REIMS,51,454,AM,360,0,1.0,Maison,92.0,4.0
1618665,29/04/2020,Vente,"117500,00",2.0,RUE,1980,DE CLAIRMARAIS,51100.0,REIMS,51,454,AT,210,1,2.0,Appartement,57.0,2.0
1618666,13/05/2020,Vente,"399000,00",32.0,RUE,8620,THIERS,51100.0,REIMS,51,454,IL,471,3,2.0,Appartement,129.0,5.0
1618667,13/05/2020,Vente,"132000,00",26.0,RUE,3360,ERNEST RENAN,51100.0,REIMS,51,454,AR,483,3,2.0,Appartement,52.0,2.0
1618671,13/05/2020,Vente,"352000,00",7.0,RUE,1080,DES BOUCHERIES,51100.0,REIMS,51,454,IL,55,1,2.0,Appartement,100.0,5.0
1618672,13/05/2020,Vente,"247500,00",8.0,RUE,5880,DU MARC,51100.0,REIMS,51,454,BE,525,1,2.0,Appartement,62.0,2.0
1618674,19/05/2020,Vente,"130000,00",15.0,RUE,5920,M CLEMENCE FOURIAUX,51100.0,REIMS,51,454,AT,84,2,2.0,Appartement,70.0,3.0
1618678,04/05/2020,Vente,"89000,00",1.0,RUE,2250,DE LA CONCORDE,51100.0,REIMS,51,454,IO,16,1,2.0,Appartement,41.0,2.0
1618683,15/05/2020,Vente,"109500,00",21.0,RUE,0390,ARMAND GUERY,51100.0,REIMS,51,454,AV,1030,2,2.0,Appartement,51.0,3.0
1618687,20/05/2020,Vente,"305000,00",119.0,BD,1800,CHARLES ARNOULD,51100.0,REIMS,51,454,AO,599,0,1.0,Maison,67.0,4.0
1618696,13/05/2020,Vente,"80000,00",22.0,RUE,2190,DU COLONEL MOLL,51100.0,REIMS,51,454,AX,616,1,2.0,Appartement,46.0,2.0
1618713,16/05/2020,Vente,"47000,00",21.0,AV,4455,HENRI FARMAN,51100.0,REIMS,51,454,DH,90,1,2.0,Appartement,17.0,1.0
1618719,07/05/2020,Vente,"124500,00",11.0,RUE,2440,DE COURLANCY,51100.0,REIMS,51,454,HX,550,1,2.0,Appartement,47.0,2.0
1618721,18/05/2020,Vente,"64130,00",42.0,RUE,6230,DU MONT D ARENE,51100.0,REIMS,51,454,AV,378,1,2.0,Appartement,24.0,1.0
1618722,30/04/2020,Vente,"146500,00",31.0,RUE,4890,JEAN JACQUES ROUSSEAU,51100.0,REIMS,51,454,BE,194,2,2.0,Appartement,20.0,1.0
1618723,30/04/2020,Vente,"146500,00",31.0,RUE,4890,JEAN JACQUES ROUSSEAU,51100.0,REIMS,51,454,BE,194,2,2.0,Appartement,29.0,1.0
1618725,30/04/2020,Vente,"800000,00",15.0,RUE,1480,CARNOT,51100.0,REIMS,51,454,CX,24,0,2.0,Appartement,129.0,5.0
1618727,30/04/2020,Vente,"800000,00",15.0,RUE,1480,CARNOT,51100.0,REIMS,51,454,CX,24,0,2.0,Appartement,80.0,3.0
1618729,29/04/2020,Vente,"120000,00",5.0,RUE,7330,DE LA PROCESSION,51100.0,REIMS,51,454,CI,135,1,2.0,Appartement,40.0,2.0
1618731,07/05/2020,Vente,"122700,00",37.0,RUE,5840,MALDAN,51100.0,REIMS,51,454,AR,270,2,2.0,Appartement,57.0,2.0
1618732,29/04/2020,Vente,"110000,00",99.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AV,247,2,2.0,Appartement,50.0,2.0
1618735,06/05/2020,Vente,"33500,00",10.0,RUE,7405,RAYMOND POINCARE,51100.0,REIMS,51,454,AE,117,2,2.0,Appartement,25.0,1.0
1618738,18/05/2020,Vente,"220202,00",171.0,RUE,0600,DU BARBATRE,51100.0,REIMS,51,454,CZ,408,3,2.0,Appartement,72.0,3.0
1618739,05/05/2020,Vente,"60000,00",29.0,RUE,9090,VICTOR ROGELET,51100.0,REIMS,51,454,AW,168,4,2.0,Appartement,37.0,2.0
1618745,15/05/2020,Vente,"235000,00",77.0,PL,5700,LUTON,51100.0,REIMS,51,454,AX,102,0,1.0,Maison,62.0,4.0
1618746,04/05/2020,Vente,"147000,00",10.0,RUE,6270,MONTOISON,51100.0,REIMS,51,454,CX,160,2,2.0,Appartement,56.0,3.0
1618749,30/04/2020,Vente,"117500,00",18.0,RUE,7090,PLUMET FOLLIART,51100.0,REIMS,51,454,AV,468,0,1.0,Maison,85.0,3.0
1618750,12/05/2020,Vente,"68000,00",64.0,RUE,3280,EMILE ZOLA,51100.0,REIMS,51,454,AW,85,1,2.0,Appartement,35.0,2.0
1618751,15/05/2020,Vente,"220000,00",5.0,RUE,1220,DE BREST,51100.0,REIMS,51,454,DR,221,0,1.0,Maison,77.0,4.0
1618765,06/05/2020,Vente,"133500,00",40.0,RUE,1100,BOUDET,51100.0,REIMS,51,454,AX,668,1,1.0,Maison,50.0,3.0
1618766,04/05/2020,Vente,"108000,00",91.0,BD,3950,DU GENERAL LECLERC,51100.0,REIMS,51,454,IN,22,2,2.0,Appartement,46.0,2.0
1618769,11/03/2020,Vente,"70000,00",71.0,RUE,8820,DES 3 PILIERS,51100.0,REIMS,51,454,AW,51,2,2.0,Appartement,40.0,2.0
1618771,13/05/2020,Vente,"120000,00",11.0,RUE,5505,LT COLONEL SIMONIN,51100.0,REIMS,51,454,AD,1024,0,1.0,Maison,91.0,5.0
1618775,24/04/2020,Vente,"58000,00",34.0,RUE,0630,DU BASTION,51100.0,REIMS,51,454,CW,277,1,2.0,Appartement,22.0,1.0
1618781,04/05/2020,Vente,"68000,00",29.0,BD,7960,ST MARCEAUX,51100.0,REIMS,51,454,CK,312,1,2.0,Appartement,30.0,1.0
1618782,13/05/2020,Vente en l'état futur d'achèvement,"200000,00",25.0,RUE,3210,DES ELUS,51100.0,REIMS,51,454,IL,117,1,2.0,Appartement,39.0,1.0
1618783,30/04/2020,Vente,"388100,00",26.0,RUE,5830,DE LA MALADRERIE,51100.0,REIMS,51,454,BL,143,0,1.0,Maison,192.0,6.0
1618784,30/04/2020,Vente,"180000,00",67.0,RUE,3000,DOCTEUR THOMAS,51100.0,REIMS,51,454,AW,218,0,2.0,Appartement,24.0,1.0
1618785,30/04/2020,Vente,"180000,00",67.0,RUE,3000,DOCTEUR THOMAS,51100.0,REIMS,51,454,AW,218,0,2.0,Appartement,36.0,2.0
1618786,30/04/2020,Vente,"180000,00",67.0,RUE,3000,DOCTEUR THOMAS,51100.0,REIMS,51,454,AW,218,0,2.0,Appartement,36.0,2.0
1618787,30/04/2020,Vente,"180000,00",67.0,RUE,3000,DOCTEUR THOMAS,51100.0,REIMS,51,454,AW,218,0,2.0,Appartement,35.0,2.0
1618788,07/05/2020,Vente,"148000,00",67.0,AV,4900,JEAN JAURES,51100.0,REIMS,51,454,BI,384,1,2.0,Appartement,105.0,4.0
1618792,12/05/2020,Vente,"350000,00",15.0,RUE,8060,ST SIXTE,51100.0,REIMS,51,454,CZ,184,0,2.0,Appartement,70.0,2.0
1618793,12/05/2020,Vente,"350000,00",15.0,RUE,8060,ST SIXTE,51100.0,REIMS,51,454,CZ,184,0,2.0,Appartement,32.0,2.0
1618795,12/05/2020,Vente,"350000,00",15.0,RUE,8060,ST SIXTE,51100.0,REIMS,51,454,CZ,184,0,2.0,Appartement,60.0,4.0
1618796,12/05/2020,Vente,"350000,00",15.0,RUE,8060,ST SIXTE,51100.0,REIMS,51,454,CZ,184,0,2.0,Appartement,32.0,2.0
1618800,18/05/2020,Vente,"175000,00",16.0,RUE,8330,SIMON,51100.0,REIMS,51,454,DM,637,1,2.0,Appartement,123.0,6.0
1618804,15/05/2020,Vente,"108000,00",12.0,RUE,5270,LANDOUZY,51100.0,REIMS,51,454,AW,286,1,2.0,Appartement,35.0,1.0
1618805,15/05/2020,Vente,"108000,00",12.0,RUE,5270,LANDOUZY,51100.0,REIMS,51,454,AW,286,1,2.0,Appartement,25.0,1.0
1618808,18/05/2020,Vente,"113000,00",38.0,RUE,8430,DE STRASBOURG,51100.0,REIMS,51,454,CV,589,1,2.0,Appartement,54.0,3.0
1618809,18/05/2020,Vente,"113000,00",38.0,RUE,8430,DE STRASBOURG,51100.0,REIMS,51,454,CV,589,1,2.0,Appartement,55.0,3.0
1618811,20/05/2020,Vente,"182000,00",42.0,RUE,3850,GAMBETTA,51100.0,REIMS,51,454,IK,171,2,2.0,Appartement,69.0,3.0
1618823,04/05/2020,Vente,"175000,00",31.0,RUE,3990,GEORGES BOUSSINESQ,51100.0,REIMS,51,454,CL,909,1,2.0,Appartement,66.0,3.0
1618826,11/05/2020,Vente,"368400,00",161.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AY,130,0,1.0,Maison,166.0,5.0
1618829,06/05/2020,Vente,"199800,00",4.0,RUE,4080,GILBERT,51100.0,REIMS,51,454,AR,221,0,1.0,Maison,95.0,5.0
1618832,22/05/2020,Vente,"60000,00",39.0,AV,4455,HENRI FARMAN,51100.0,REIMS,51,454,EK,6,1,2.0,Appartement,18.0,1.0
1618834,20/05/2020,Vente,"147500,00",301.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AN,711,1,2.0,Appartement,82.0,4.0
1618836,11/05/2020,Vente,"64000,00",74.0,RUE,6230,DU MONT D ARENE,51100.0,REIMS,51,454,AV,391,1,2.0,Appartement,35.0,1.0
1618837,12/05/2020,Vente en l'état futur d'achèvement,"205000,00",60.0,RUE,4355,HANNAH ARENDT,51100.0,REIMS,51,454,CR,61,1,2.0,Appartement,88.0,4.0
1618839,11/05/2020,Vente,"60500,00",63.0,RUE,1590,DE CERNAY,51100.0,REIMS,51,454,CW,321,1,2.0,Appartement,22.0,1.0
1618841,13/05/2020,Vente,"164000,00",2.0,RUE,0375,ARLETTE REMIA,51100.0,REIMS,51,454,HZ,183,1,2.0,Appartement,66.0,2.0
1618843,11/05/2020,Vente,"106500,00",10.0,RUE,7345,PROSPER MERIMEE,51100.0,REIMS,51,454,EY,144,0,1.0,Maison,91.0,4.0
1618845,15/05/2020,Vente,"335000,00",6.0,RUE,0930,DE BIZERTE,51100.0,REIMS,51,454,BL,371,0,1.0,Maison,130.0,5.0
1618851,19/05/2020,Vente,"160000,00",31.0,RUE,5860,MANSUY,51100.0,REIMS,51,454,AM,820,1,2.0,Appartement,79.0,3.0
1618853,18/05/2020,Vente,"177000,00",450.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AE,93,1,2.0,Appartement,76.0,3.0
1618854,18/05/2020,Vente,"96350,00",6.0,RUE,7405,RAYMOND POINCARE,51100.0,REIMS,51,454,AE,117,2,2.0,Appartement,83.0,5.0
1618859,15/05/2020,Vente,"70000,00",40.0,RUE,7310,PRIEUR DE LA MARNE,51100.0,REIMS,51,454,BI,111,1,2.0,Appartement,22.0,1.0
1618864,15/05/2020,Vente,"188500,00",158.0,AV,4900,JEAN JAURES,51100.0,REIMS,51,454,CV,981,1,2.0,Appartement,95.0,4.0
1618879,19/05/2020,Vente,"271200,00",28.0,RUE,8510,DE TAMBOUR,51100.0,REIMS,51,454,BE,264,2,2.0,Appartement,87.0,4.0
1618883,20/05/2020,Vente,"89000,00",333.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AN,548,1,2.0,Appartement,80.0,3.0
1618888,20/05/2020,Vente,"89000,00",333.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AN,548,1,2.0,Appartement,81.0,3.0
1618890,26/05/2020,Vente,"220000,00",8.0,BD,5680,LUNDY,51100.0,REIMS,51,454,BH,309,2,2.0,Appartement,86.0,4.0
1618893,26/05/2020,Vente,"96000,00",1.0,RUE,8870,DES TUILERIES,51100.0,REIMS,51,454,DM,559,2,2.0,Appartement,39.0,1.0
1618894,07/05/2020,Vente,"287800,00",64.0,RUE,9110,DU VIEUX COLOMBIER,51100.0,REIMS,51,454,AM,238,0,1.0,Maison,93.0,4.0
1618895,13/03/2020,Vente,"122000,00",52.0,RUE,2570,CROUTELLE,51100.0,REIMS,51,454,AV,105,2,2.0,Appartement,41.0,2.0
1618896,07/05/2020,Vente,"123000,00",9.0,RUE,6360,DES MURS,51100.0,REIMS,51,454,CX,271,1,2.0,Appartement,39.0,2.0
1618901,13/05/2020,Vente,"347000,00",2.0,RUE,8900,DE L UNIVERSITE,51100.0,REIMS,51,454,CX,326,2,2.0,Appartement,103.0,4.0
1618902,05/05/2020,Vente,"141700,00",51.0,BD,4550,HENRY VASNIER,51100.0,REIMS,51,454,CI,77,1,2.0,Appartement,44.0,2.0
1618914,01/04/2020,Vente,"185000,00",38.0,RUE,7710,RUINART DE BRIMONT,51100.0,REIMS,51,454,CW,112,1,2.0,Appartement,141.0,1.0
1618916,11/05/2020,Vente,"168000,00",44.0,RUE,3800,DES FUSELIERS,51100.0,REIMS,51,454,CX,559,1,2.0,Appartement,57.0,3.0
1618917,12/05/2020,Vente,"164480,00",3.0,RUE,6540,NOEL,51100.0,REIMS,51,454,IL,607,3,1.0,Maison,213.0,7.0
1618929,08/04/2020,Vente,"180000,00",8.0,RUE,7640,ROSSET,51100.0,REIMS,51,454,AM,890,1,2.0,Appartement,78.0,3.0
1618931,25/05/2020,Vente,"675700,00",13.0,RUE,8250,DE SAVOYE,51100.0,REIMS,51,454,BH,371,0,1.0,Maison,250.0,9.0
1618938,03/04/2020,Vente,"76000,00",4.0,RUE,8230,DES SALINES,51100.0,REIMS,51,454,CZ,174,1,2.0,Appartement,40.0,2.0
1618939,11/05/2020,Vente,"155000,00",86.0,BD,8925,VASCO DE GAMA,51100.0,REIMS,51,454,EV,68,0,1.0,Maison,86.0,5.0
1618945,10/04/2020,Vente,"315000,00",30.0,RUE,2070,CLOVIS,51100.0,REIMS,51,454,IK,649,0,1.0,Maison,131.0,5.0
1618946,19/05/2020,Vente,"158000,00",113.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AY,241,1,2.0,Appartement,66.0,3.0
1618953,15/05/2020,Vente,"198000,00",161.0,RUE,5350,LEDRU ROLLIN,51100.0,REIMS,51,454,DL,63,0,1.0,Maison,98.0,5.0
1618956,13/05/2020,Vente,"174800,00",31.0,RUE,1100,BOUDET,51100.0,REIMS,51,454,AX,708,1,2.0,Appartement,61.0,3.0
1618958,13/05/2020,Vente,"124200,00",21.0,RUE,9210,DE WITRY,51100.0,REIMS,51,454,CT,186,2,2.0,Appartement,63.0,3.0
1618959,13/05/2020,Vente,"651050,00",5.0,RUE,1350,DU CADRAN ST PIERRE,51100.0,REIMS,51,454,IL,253,1,2.0,Appartement,252.0,6.0
1618961,15/05/2020,Vente,"134500,00",85.0,RUE,2290,COQUEBERT,51100.0,REIMS,51,454,BI,824,1,2.0,Appartement,70.0,3.0
1618966,15/05/2020,Vente,"208000,00",41.0,RUE,3910,DU GENERAL CARRE,51100.0,REIMS,51,454,CO,283,0,1.0,Maison,80.0,5.0
1618967,18/05/2020,Vente,"88700,00",16.0,RUE,5050,JULES BRUNEAU,51100.0,REIMS,51,454,DT,658,2,2.0,Appartement,44.0,2.0
1618976,20/05/2020,Vente,"477950,00",7.0,RUE,7920,ST JUST,51100.0,REIMS,51,454,CX,311,0,1.0,Maison,113.0,4.0
1618982,13/05/2020,Vente,"289580,00",67.0,RUE,8233,DE SALZBOURG,51100.0,REIMS,51,454,HV,56,0,1.0,Maison,104.0,5.0
1618983,05/05/2020,Vente,"81500,00",2.0,IMP,3710,DE LA FOSSE DIENNE,51100.0,REIMS,51,454,AH,622,0,1.0,Maison,32.0,1.0
1618985,14/05/2020,Vente,"183500,00",44.0,RUE,1670,DU CHAMP DE MARS,51100.0,REIMS,51,454,BH,1,2,2.0,Appartement,75.0,5.0
1618989,15/05/2020,Vente,"85000,00",16.0,RUE,6720,DE PARGNY,51100.0,REIMS,51,454,HX,391,2,2.0,Appartement,62.0,3.0
1618991,18/05/2020,Vente,"217400,00",8.0,RUE,6075,MATHIEU TROUSSIEUX,51100.0,REIMS,51,454,KS,134,0,1.0,Maison,96.0,4.0
1618999,19/05/2020,Vente,"62000,00",12.0,ESP,6772,PAUL CEZANNE,51100.0,REIMS,51,454,KR,4,2,2.0,Appartement,74.0,4.0
1619002,04/05/2020,Vente,"257400,00",44.0,RUE,6170,MICHEL ANGE,51100.0,REIMS,51,454,AO,155,0,1.0,Maison,80.0,5.0
1619005,13/05/2020,Vente,"45000,00",64.0,RUE,3280,EMILE ZOLA,51100.0,REIMS,51,454,AW,85,1,2.0,Appartement,30.0,1.0
1619009,14/05/2020,Vente en l'état futur d'achèvement,"485000,00",,IMP,5470,DU LEVANT,51100.0,REIMS,51,454,CX,495,1,2.0,Appartement,118.0,4.0
1619012,15/05/2020,Vente,"188000,00",21.0,RUE,3390,DE L ETAPE,51100.0,REIMS,51,454,IL,623,1,2.0,Appartement,73.0,3.0
1619019,18/05/2020,Vente,"126000,00",33.0,BD,7960,ST MARCEAUX,51100.0,REIMS,51,454,CK,98,2,2.0,Appartement,67.0,3.0
1619031,14/05/2020,Vente en l'état futur d'achèvement,"388000,00",,IMP,5470,DU LEVANT,51100.0,REIMS,51,454,CX,495,1,2.0,Appartement,99.0,4.0
1619034,19/05/2020,Vente,"119000,00",12.0,BD,4550,HENRY VASNIER,51100.0,REIMS,51,454,CZ,11,1,2.0,Appartement,74.0,3.0
1619037,28/05/2020,Vente,"126000,00",27.0,AV,4010,GEORGES CLEMENCEAU,51100.0,REIMS,51,454,CL,560,2,2.0,Appartement,56.0,3.0
1619039,13/05/2020,Vente,"242000,00",97.0,RUE,9110,DU VIEUX COLOMBIER,51100.0,REIMS,51,454,AM,797,0,1.0,Maison,113.0,4.0
1619042,13/05/2020,Vente,"183000,00",78.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AY,172,1,2.0,Appartement,64.0,3.0
1619045,27/05/2020,Vente,"227000,00",139.0,RUE,1590,DE CERNAY,51100.0,REIMS,51,454,CV,355,2,2.0,Appartement,101.0,1.0
1619049,27/05/2020,Vente,"145000,00",92.0,RUE,7160,PONSARDIN,51100.0,REIMS,51,454,CY,195,1,2.0,Appartement,65.0,3.0
1619052,22/05/2020,Vente,"180000,00",2.0,RUE,8430,DE STRASBOURG,51100.0,REIMS,51,454,CV,937,2,2.0,Appartement,93.0,4.0
1619055,14/05/2020,Vente,"300000,00",413.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AD,51,0,1.0,Maison,103.0,4.0
1619110,19/05/2020,Vente,"126000,00",28.0,RUE,0375,ARLETTE REMIA,51100.0,REIMS,51,454,HZ,183,1,2.0,Appartement,73.0,2.0
1619112,14/05/2020,Vente,"99000,00",13.0,RUE,1640,DU CHALET,51100.0,REIMS,51,454,BK,323,2,2.0,Appartement,40.0,2.0
1619114,30/05/2020,Vente,"117300,00",26.0,RUE,1070,BOUCHER DE PERTHES,51100.0,REIMS,51,454,CV,918,1,2.0,Appartement,36.0,2.0
1619116,19/05/2020,Vente,"101000,00",65.0,BD,2930,DOCTEUR HENRI HENROT,51100.0,REIMS,51,454,DM,458,2,2.0,Appartement,67.0,3.0
1619117,20/05/2020,Vente,"262500,00",44.0,RUE,2949,DOCTEUR JOSEPH BOUVIER,51100.0,REIMS,51,454,HI,34,0,1.0,Maison,101.0,7.0
1619119,29/05/2020,Vente,"225000,00",27.0,RUE,3210,DES ELUS,51100.0,REIMS,51,454,IL,128,1,2.0,Appartement,47.0,2.0
1619120,19/05/2020,Vente,"105350,00",121.0,RUE,1590,DE CERNAY,51100.0,REIMS,51,454,CV,474,2,2.0,Appartement,47.0,2.0
1619122,26/05/2020,Vente,"247500,00",87.0,RUE,6230,DU MONT D ARENE,51100.0,REIMS,51,454,AT,9,1,2.0,Appartement,66.0,3.0
1619129,28/05/2020,Vente,"155000,00",1.0,RUE,8870,DES TUILERIES,51100.0,REIMS,51,454,DM,559,1,2.0,Appartement,108.0,5.0
1619130,20/05/2020,Vente,"297000,00",18.0,PAS,7870,ST JACQUES,51100.0,REIMS,51,454,IL,147,1,2.0,Appartement,97.0,4.0
1619133,18/05/2020,Vente,"149000,00",1.0,RUE,6760,PAUL ADAM,51100.0,REIMS,51,454,IK,1431,1,2.0,Appartement,63.0,3.0
1619138,20/05/2020,Vente,"90000,00",76.0,RUE,5615,LOUIS PASTEUR NEUV,51100.0,REIMS,51,454,KI,231,1,2.0,Appartement,44.0,2.0
1619156,29/05/2020,Vente,"195500,00",3.0,RUE,1640,DU CHALET,51100.0,REIMS,51,454,BK,328,1,2.0,Appartement,98.0,5.0
1619158,25/05/2020,Vente,"102000,00",6.0,RUE,4034,GERARD DE NERVAL,51100.0,REIMS,51,454,EX,121,1,2.0,Appartement,66.0,2.0
1619159,28/05/2020,Vente,"152000,00",69.0,RUE,5505,LT COLONEL SIMONIN,51100.0,REIMS,51,454,AD,1037,0,1.0,Maison,91.0,5.0
1619178,22/05/2020,Vente,"82000,00",21.0,AV,3320,D EPERNAY,51100.0,REIMS,51,454,DP,460,2,2.0,Appartement,39.0,1.0
1619181,22/05/2020,Vente en l'état futur d'achèvement,"228580,00",,RUE,4220,GRANDVAL,51100.0,REIMS,51,454,CL,1000,2,2.0,Appartement,62.0,3.0
1619183,27/05/2020,Vente,"1000000,00",10.0,RUE,7080,PLUCHE,51100.0,REIMS,51,454,BE,158,1,2.0,Appartement,410.0,9.0
1619189,25/05/2020,Vente,"40000,00",5.0,RUE,0600,DU BARBATRE,51100.0,REIMS,51,454,CY,41,1,2.0,Appartement,31.0,2.0
1619190,25/05/2020,Vente,"330000,00",15.0,RUE,5426,LEON ROTHIER,51100.0,REIMS,51,454,HV,117,0,1.0,Maison,101.0,5.0
1619195,13/05/2020,Vente,"150000,00",200.0,RUE,5350,LEDRU ROLLIN,51100.0,REIMS,51,454,DW,72,1,2.0,Appartement,66.0,3.0
